company,week_52_high,week_52_low,week_52_change,avg_10_volume,avg_30_volume,day_50_moving_avg,ttm_EPS,pe_ratio,beta,year_1_change_percent,month_6_change_percent,month_1_change_percent,day_30_change_percent,day_5_change_percent
AAPL,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354
MSFT,232.86,132.52,0.430693,25446655.8,29496091.93,211.6,6.257,34.18,1.1477815564544054,0.407479,0.146977,-0.020531,-0.049729,-0.031487
AMZN,3552.25,1626.03,0.797453,3737236.2,5029639.9,3161.49,34.8018,89.59,0.7030655248279405,0.786696,0.266747,-0.026858,-0.099778,-0.010112
GOOG,1818.06,1013.54,0.35926499999999995,1488590.2,1889011.33,1594.74,52.2107,33.88,0.9711849574441704,0.338756,0.241938,0.093441,0.110276,-0.022
GOOGL,1816.89,1008.87,0.3567,1266753.6,1864811.7,1589.73,52.2107,33.78,0.9785894036838104,0.335533,0.23432,0.094824,0.109799,-0.021223
FB,304.67,137.1,0.39908,14744213.1,20115902.77,268.77,8.8651,31.24,1.0124055246901766,0.362603,0.165565,-0.032397,-0.02194,-0.033195
BABA,319.32,169.95,0.514443,27261958.1,22599310.47,287.65,7.0185,39.89,0.6453725820196539,0.464568,0.276112,-0.120888,-0.116211,0.04812
NVDA,589.07,180.68,1.466029,9924367.5,8867263.4,532.36,6.2173,83.37,1.3723520311743067,1.49077,0.491439,-0.032311,-0.080012,-0.031631
DIS,153.41,79.07,0.031246,12673943.7,10649427.83,129.17,-1.5805,-95.85,1.0865650060441427,-0.039687,0.197233,0.114033,0.128831,-0.024884
CRM,284.5,115.29,0.6014240000000001,5818467.4,5182360.43,251.29,2.6113,99.89,1.0715403678248674,0.584234,0.472327,0.014986,-0.033811,0.032614
ADBE,536.88,255.13,0.548527,2465190.9,2475663.27,479,8.0172,57.71,1.1181628451168608,0.549264,0.211293,-0.066618,-0.093895,0.004274
NFLX,575.37,290.25,0.549232,4030412.1,6151070.9,498.56,6.3762,75.73,0.6681164364812011,0.566428,0.119175,-0.001656,-0.095534,0.019077
INTC,69.29,43.61,-0.192546,32856040.4,37126581.23,49.01,5.1491,9.13,1.1786281145386828,-0.220371,-0.267667,-0.151589,-0.157572,-0.01732
CSCO,50.28,32.4,-0.049732000000000005,26950085.8,25856081.9,39.08,2.4718,17.24,1.009902655998901,-0.086307,-0.082213,0.048899,0.015114,-0.036906
ORCL,62.6,39.71,0.023831,7850466.3,9532276,58.55,3.2664,17.62,0.9409475357476048,-0.009426,0.066641,-0.066533,-0.093719,-0.025372
QCOM,153.33,58,0.7146049999999999,8763393.6,8478574.53,128.5,4.5887,31.8,1.1818237646380665,0.71578,0.872179,0.135978,0.152656,-0.020393
ACN,250.09,137.15,0.270454,1602000,1766181,230.5,8.0275,31.14,1.0701195301944284,0.237118,0.258088,0.044359,0.055727,-0.006165
TXN,164.63,93.09,0.372524,3177036.4,4105158.4,148.44,5.3694,29.68,1.1129276986272785,0.350732,0.382161,0.073154,0.012395,-0.009412
SAP,169.3,90.89,-0.137562,1404318.9,2136512.7,137.29,4.6206,25.28,0.9588441720389919,-0.135937,0.007143,-0.211296,-0.262959,-0.016225
ZM,588.84,62.02,5.114846,10862965.5,10442612.33,472.46,0.8166,523.57,-0.16342578600776747,5.287185,1.555368,-0.143397,-0.105668,0.10134
SHOP,1146.91,305.3,2.072864,1275785.8,1512855.9,992.24,1.6262,597.25,1.0853864622224583,2.127503,0.232018,-0.032779,-0.09311,0.075379
SNE,91.55,50.94,0.47594299999999995,1078660.8,1239724.33,80.48,7.1191,12.75,0.7423332483169353,0.462614,0.434173,0.20552,0.206328,-0.005196
IBM,158.75,90.56,-0.070383,5138694.6,6368013.27,119.04,8.8954,13.99,1.0167149819296952,-0.12627,-0.018301,0.016339,-0.080733,-0.011997
NOW,537.53,238.93,0.843974,1283994,1409919.67,498.46,3.7004,139.09,1.0580629266052934,0.856048,0.350381,0.015247,0.01762,0.031417
AMD,94.28,36.75,1.152581,37891445.3,48897563.43,81.23,0.7507,113.32,1.193436313567176,1.1417,0.548765,0.068687,0.004152,0.010868
INTU,377.15,187.68,0.273096,1275834.7,1115225.4,334.15,7.5241,45.88,1.2199330666213275,0.282279,0.198931,0.044773,-0.009233,-0.026242
INFY,16.62,6.76,0.573455,8765049.7,10167754.7,14.62,0.5734,27.08,0.9302291320907764,0.510638,0.669653,-0.028031,-0.041158,-0.035576
MU,64.5,31.13,0.40395200000000003,18080199.5,15958006.67,52.88,2.4201,26.42,1.32631650696982,0.347969,0.357806,0.151754,0.211523,-0.007436
NTDOY,73.75,35.82,0.352095,894663.8,632483.87,68.41,3.9899,16.5,0.40539211767760497,0.362366,0.275875,-0.011624,-0.055943,0.037222
